Hospital,Date,KPI,Value,Metric
National,2023-02-01,# > 24 Hours,5348,All
National,2023-03-01,% Within 6 Hours,0.546,All
National,2023-03-01,% Within 9 Hours,0.717,All
National,2023-03-01,% Within 24 Hours,0.947,All
National,2023-03-01,# > 24 Hours,6750,All
National,2023-04-01,% Within 6 Hours,0.555,All
National,2023-04-01,% Within 9 Hours,0.722,All
National,2023-04-01,% Within 24 Hours,0.953,All
National,2023-04-01,# > 24 Hours,5638,All
National,2023-05-01,% Within 6 Hours,0.575,All
National,2023-05-01,% Within 9 Hours,0.738,All
National,2023-05-01,% Within 24 Hours,0.955,All
National,2023-05-01,# > 24 Hours,6011,All
National,2023-06-01,% Within 6 Hours,0.581,All
National,2023-06-01,% Within 9 Hours,0.746,All
National,2023-06-01,% Within 24 Hours,0.968,All
National,2023-06-01,# > 24 Hours,4032,All
National,2023-07-01,% Within 6 Hours,0.569,All
National,2023-07-01,% Within 9 Hours,0.737,All
National,2023-07-01,% Within 24 Hours,0.967,All
National,2023-07-01,# > 24 Hours,4014,All
National,2023-08-01,% Within 6 Hours,0.578,All
National,2023-08-01,% Within 9 Hours,0.742,All
National,2023-08-01,% Within 24 Hours,0.965,All
National,2023-08-01,# > 24 Hours,4351,All
National,2023-09-01,% Within 6 Hours,0.585,All
National,2023-09-01,% Within 9 Hours,0.749,All
National,2023-09-01,% Within 24 Hours,0.962,All
National,2023-09-01,# > 24 Hours,4736,All
MRH Portlaoise,2022-01-01,% Within 6 Hours,0.634,All
MRH Portlaoise,2022-01-01,% Within 9 Hours,0.837,All
MRH Portlaoise,2022-01-01,% Within 24 Hours,0.986,All
MRH Portlaoise,2022-01-01,# > 24 Hours,44,All
MRH Portlaoise,2022-02-01,% Within 6 Hours,0.664,All
MRH Portlaoise,2022-02-01,% Within 9 Hours,0.84,All
MRH Portlaoise,2022-02-01,% Within 24 Hours,0.987,All
MRH Portlaoise,2022-02-01,# > 24 Hours,42,All
MRH Portlaoise,2022-03-01,% Within 6 Hours,0.683,All
MRH Portlaoise,2022-03-01,% Within 9 Hours,0.859,All
MRH Portlaoise,2022-03-01,% Within 24 Hours,0.989,All
MRH Portlaoise,2022-03-01,# > 24 Hours,40,All
MRH Portlaoise,2022-04-01,% Within 6 Hours,0.704,All
MRH Portlaoise,2022-04-01,% Within 9 Hours,0.882,All
MRH Portlaoise,2022-04-01,% Within 24 Hours,0.99,All
MRH Portlaoise,2022-04-01,# > 24 Hours,34,All
MRH Portlaoise,2022-05-01,% Within 6 Hours,0.706,All
MRH Portlaoise,2022-05-01,% Within 9 Hours,0.879,All
MRH Portlaoise,2022-05-01,% Within 24 Hours,0.988,All
MRH Portlaoise,2022-05-01,# > 24 Hours,44,All
MRH Portlaoise,2022-06-01,% Within 6 Hours,0.701,All
MRH Portlaoise,2022-06-01,% Within 9 Hours,0.871,All
MRH Portlaoise,2022-06-01,% Within 24 Hours,0.991,All
MRH Portlaoise,2022-06-01,# > 24 Hours,32,All
MRH Portlaoise,2022-07-01,% Within 6 Hours,0.717,All
MRH Portlaoise,2022-07-01,% Within 9 Hours,0.878,All
MRH Portlaoise,2022-07-01,% Within 24 Hours,0.99,All
MRH Portlaoise,2022-07-01,# > 24 Hours,35,All
MRH Portlaoise,2022-08-01,% Within 6 Hours,0.663,All
MRH Portlaoise,2022-08-01,% Within 9 Hours,0.848,All
MRH Portlaoise,2022-08-01,% Within 24 Hours,0.988,All
MRH Portlaoise,2022-08-01,# > 24 Hours,44,All
MRH Portlaoise,2022-09-01,% Within 6 Hours,0.702,All
MRH Portlaoise,2022-09-01,% Within 9 Hours,0.881,All
MRH Portlaoise,2022-09-01,% Within 24 Hours,0.994,All
MRH Portlaoise,2022-09-01,# > 24 Hours,18,All
MRH Portlaoise,2022-10-01,% Within 6 Hours,0.711,All
MRH Portlaoise,2022-10-01,% Within 9 Hours,0.882,All
MRH Portlaoise,2022-10-01,% Within 24 Hours,0.992,All
MRH Portlaoise,2022-10-01,# > 24 Hours,32,All
MRH Portlaoise,2022-11-01,% Within 6 Hours,0.662,All
MRH Portlaoise,2022-11-01,% Within 9 Hours,0.85,All
MRH Portlaoise,2022-11-01,% Within 24 Hours,0.987,All
MRH Portlaoise,2022-11-01,# > 24 Hours,47,All
MRH Portlaoise,2022-12-01,% Within 6 Hours,0.663,All
MRH Portlaoise,2022-12-01,% Within 9 Hours,0.848,All
MRH Portlaoise,2022-12-01,% Within 24 Hours,0.988,All
MRH Portlaoise,2022-12-01,# > 24 Hours,47,All
MRH Portlaoise,2023-01-01,% Within 6 Hours,0.624,All
MRH Portlaoise,2023-01-01,% Within 9 Hours,0.835,All
MRH Portlaoise,2023-01-01,% Within 24 Hours,0.995,All
MRH Portlaoise,2023-01-01,# > 24 Hours,18,All
MRH Portlaoise,2023-02-01,% Within 6 Hours,0.615,All
MRH Portlaoise,2023-02-01,% Within 9 Hours,0.828,All
MRH Portlaoise,2023-02-01,% Within 24 Hours,0.995,All
MRH Portlaoise,2023-02-01,# > 24 Hours,15,All
MRH Portlaoise,2023-03-01,% Within 6 Hours,0.645,All
MRH Portlaoise,2023-03-01,% Within 9 Hours,0.833,All
MRH Portlaoise,2023-03-01,% Within 24 Hours,0.986,All
MRH Portlaoise,2023-03-01,# > 24 Hours,52,All
MRH Portlaoise,2023-04-01,% Within 6 Hours,0.647,All
MRH Portlaoise,2023-04-01,% Within 9 Hours,0.84,All
MRH Portlaoise,2023-04-01,% Within 24 Hours,0.99,All
MRH Portlaoise,2023-04-01,# > 24 Hours,36,All
MRH Portlaoise,2023-05-01,% Within 6 Hours,0.657,All
MRH Portlaoise,2023-05-01,% Within 9 Hours,0.853,All
MRH Portlaoise,2023-05-01,% Within 24 Hours,0.991,All
MRH Portlaoise,2023-05-01,# > 24 Hours,37,All
MRH Portlaoise,2023-06-01,% Within 6 Hours,0.663,All
MRH Portlaoise,2023-06-01,% Within 9 Hours,0.851,All
MRH Portlaoise,2023-06-01,% Within 24 Hours,0.997,All
MRH Portlaoise,2023-06-01,# > 24 Hours,12,All
MRH Portlaoise,2023-07-01,% Within 6 Hours,0.642,All
MRH Portlaoise,2023-07-01,% Within 9 Hours,0.831,All
MRH Portlaoise,2023-07-01,% Within 24 Hours,0.986,All
MRH Portlaoise,2023-07-01,# > 24 Hours,46,All
MRH Portlaoise,2023-08-01,% Within 6 Hours,0.657,All
MRH Portlaoise,2023-08-01,% Within 9 Hours,0.861,All
MRH Portlaoise,2023-08-01,% Within 24 Hours,0.993,All
MRH Portlaoise,2023-08-01,# > 24 Hours,24,All
MRH Portlaoise,2023-09-01,% Within 6 Hours,0.638,All
MRH Portlaoise,2023-09-01,% Within 9 Hours,0.83,All
MRH Portlaoise,2023-09-01,% Within 24 Hours,0.991,All
MRH Portlaoise,2023-09-01,# > 24 Hours,30,All
MRH Tullamore,2022-01-01,% Within 6 Hours,0.586,All
MRH Tullamore,2022-01-01,% Within 9 Hours,0.747,All
MRH Tullamore,2022-01-01,% Within 24 Hours,0.95,All
MRH Tullamore,2022-01-01,# > 24 Hours,151,All
MRH Tullamore,2022-02-01,% Within 6 Hours,0.521,All
MRH Tullamore,2022-02-01,% Within 9 Hours,0.693,All
MRH Tullamore,2022-02-01,% Within 24 Hours,0.925,All
MRH Tullamore,2022-02-01,# > 24 Hours,225,All
MRH Tullamore,2022-03-01,% Within 6 Hours,0.516,All
MRH Tullamore,2022-03-01,% Within 9 Hours,0.686,All
MRH Tullamore,2022-03-01,% Within 24 Hours,0.944,All
MRH Tullamore,2022-03-01,# > 24 Hours,193,All
MRH Tullamore,2022-04-01,% Within 6 Hours,0.486,All
MRH Tullamore,2022-04-01,% Within 9 Hours,0.686,All
MRH Tullamore,2022-04-01,% Within 24 Hours,0.959,All
MRH Tullamore,2022-04-01,# > 24 Hours,137,All
MRH Tullamore,2022-05-01,% Within 6 Hours,0.521,All
MRH Tullamore,2022-05-01,% Within 9 Hours,0.704,All
MRH Tullamore,2022-05-01,% Within 24 Hours,0.978,All
MRH Tullamore,2022-05-01,# > 24 Hours,77,All
MRH Tullamore,2022-06-01,% Within 6 Hours,0.516,All
MRH Tullamore,2022-06-01,% Within 9 Hours,0.712,All
MRH Tullamore,2022-06-01,% Within 24 Hours,0.975,All
MRH Tullamore,2022-06-01,# > 24 Hours,80,All
MRH Tullamore,2022-07-01,% Within 6 Hours,0.569,All
MRH Tullamore,2022-07-01,% Within 9 Hours,0.742,All
MRH Tullamore,2022-07-01,% Within 24 Hours,0.976,All
MRH Tullamore,2022-07-01,# > 24 Hours,80,All
MRH Tullamore,2022-08-01,% Within 6 Hours,0.58,All
MRH Tullamore,2022-08-01,% Within 9 Hours,0.763,All
MRH Tullamore,2022-08-01,% Within 24 Hours,0.988,All
MRH Tullamore,2022-08-01,# > 24 Hours,42,All
MRH Tullamore,2022-09-01,% Within 6 Hours,0.659,All
MRH Tullamore,2022-09-01,% Within 9 Hours,0.831,All
MRH Tullamore,2022-09-01,% Within 24 Hours,0.99,All
MRH Tullamore,2022-09-01,# > 24 Hours,33,All
MRH Tullamore,2022-10-01,% Within 6 Hours,0.537,All
MRH Tullamore,2022-10-01,% Within 9 Hours,0.716,All
MRH Tullamore,2022-10-01,% Within 24 Hours,0.981,All
MRH Tullamore,2022-10-01,# > 24 Hours,65,All
MRH Tullamore,2022-11-01,% Within 6 Hours,0.535,All
MRH Tullamore,2022-11-01,% Within 9 Hours,0.743,All
MRH Tullamore,2022-11-01,% Within 24 Hours,0.986,All
MRH Tullamore,2022-11-01,# > 24 Hours,44,All
MRH Tullamore,2022-12-01,% Within 6 Hours,0.572,All
MRH Tullamore,2022-12-01,% Within 9 Hours,0.75,All
MRH Tullamore,2022-12-01,% Within 24 Hours,0.986,All
MRH Tullamore,2022-12-01,# > 24 Hours,44,All
MRH Tullamore,2023-01-01,% Within 6 Hours,0.595,All
MRH Tullamore,2023-01-01,% Within 9 Hours,0.797,All
MRH Tullamore,2023-01-01,% Within 24 Hours,0.994,All
MRH Tullamore,2023-01-01,# > 24 Hours,18,All
MRH Tullamore,2023-02-01,% Within 6 Hours,0.615,All
MRH Tullamore,2023-02-01,% Within 9 Hours,0.819,All
MRH Tullamore,2023-02-01,% Within 24 Hours,0.997,All
MRH Tullamore,2023-02-01,# > 24 Hours,8,All
MRH Tullamore,2023-03-01,% Within 6 Hours,0.644,All
MRH Tullamore,2023-03-01,% Within 9 Hours,0.827,All
MRH Tullamore,2023-03-01,% Within 24 Hours,0.999,All
MRH Tullamore,2023-03-01,# > 24 Hours,5,All
MRH Tullamore,2023-04-01,% Within 6 Hours,0.65,All
MRH Tullamore,2023-04-01,% Within 9 Hours,0.841,All
MRH Tullamore,2023-04-01,% Within 24 Hours,0.999,All
MRH Tullamore,2023-04-01,# > 24 Hours,4,All
MRH Tullamore,2023-05-01,% Within 6 Hours,0.648,All
MRH Tullamore,2023-05-01,% Within 9 Hours,0.835,All
MRH Tullamore,2023-05-01,% Within 24 Hours,0.998,All
MRH Tullamore,2023-05-01,# > 24 Hours,6,All
MRH Tullamore,2023-06-01,% Within 6 Hours,0.7,All
MRH Tullamore,2023-06-01,% Within 9 Hours,0.88,All
MRH Tullamore,2023-06-01,% Within 24 Hours,0.999,All
MRH Tullamore,2023-06-01,# > 24 Hours,2,All
MRH Tullamore,2023-07-01,% Within 6 Hours,0.655,All
MRH Tullamore,2023-07-01,% Within 9 Hours,0.844,All
MRH Tullamore,2023-07-01,% Within 24 Hours,1,All
MRH Tullamore,2023-07-01,# > 24 Hours,0,All
MRH Tullamore,2023-08-01,% Within 6 Hours,0.67,All
MRH Tullamore,2023-08-01,% Within 9 Hours,0.858,All
MRH Tullamore,2023-08-01,% Within 24 Hours,1,All
MRH Tullamore,2023-08-01,# > 24 Hours,0,All
MRH Tullamore,2023-09-01,% Within 6 Hours,0.725,All
MRH Tullamore,2023-09-01,% Within 9 Hours,0.879,All
MRH Tullamore,2023-09-01,% Within 24 Hours,1,All
MRH Tullamore,2023-09-01,# > 24 Hours,0,All
Naas General Hospital,2022-01-01,% Within 6 Hours,0.373,All
Naas General Hospital,2022-01-01,% Within 9 Hours,0.551,All
Naas General Hospital,2022-01-01,% Within 24 Hours,0.909,All
Naas General Hospital,2022-01-01,# > 24 Hours,206,All
Naas General Hospital,2022-02-01,% Within 6 Hours,0.365,All
Naas General Hospital,2022-02-01,% Within 9 Hours,0.55,All
Naas General Hospital,2022-02-01,% Within 24 Hours,0.914,All
Naas General Hospital,2022-02-01,# > 24 Hours,198,All
Naas General Hospital,2022-03-01,% Within 6 Hours,0.368,All
Naas General Hospital,2022-03-01,% Within 9 Hours,0.533,All
Naas General Hospital,2022-03-01,% Within 24 Hours,0.896,All
Naas General Hospital,2022-03-01,# > 24 Hours,271,All
Naas General Hospital,2022-04-01,% Within 6 Hours,0.387,All
Naas General Hospital,2022-04-01,% Within 9 Hours,0.547,All
Naas General Hospital,2022-04-01,% Within 24 Hours,0.908,All
Naas General Hospital,2022-04-01,# > 24 Hours,233,All
Naas General Hospital,2022-05-01,% Within 6 Hours,0.395,All
Naas General Hospital,2022-05-01,% Within 9 Hours,0.566,All
Naas General Hospital,2022-05-01,% Within 24 Hours,0.954,All
Naas General Hospital,2022-05-01,# > 24 Hours,122,All
Naas General Hospital,2022-06-01,% Within 6 Hours,0.371,All
Naas General Hospital,2022-06-01,% Within 9 Hours,0.522,All
Naas General Hospital,2022-06-01,% Within 24 Hours,0.902,All
Naas General Hospital,2022-06-01,# > 24 Hours,228,All
Naas General Hospital,2022-07-01,% Within 6 Hours,0.37,All
Naas General Hospital,2022-07-01,% Within 9 Hours,0.514,All
Naas General Hospital,2022-07-01,% Within 24 Hours,0.889,All
Naas General Hospital,2022-07-01,# > 24 Hours,266,All
Naas General Hospital,2022-08-01,% Within 6 Hours,0.371,All
Naas General Hospital,2022-08-01,% Within 9 Hours,0.523,All
Naas General Hospital,2022-08-01,% Within 24 Hours,0.865,All
Naas General Hospital,2022-08-01,# > 24 Hours,333,All
Naas General Hospital,2022-09-01,% Within 6 Hours,0.412,All
Naas General Hospital,2022-09-01,% Within 9 Hours,0.576,All
Naas General Hospital,2022-09-01,% Within 24 Hours,0.882,All
Naas General Hospital,2022-09-01,# > 24 Hours,286,All
Naas General Hospital,2022-10-01,% Within 6 Hours,0.375,All
Naas General Hospital,2022-10-01,% Within 9 Hours,0.518,All
Naas General Hospital,2022-10-01,% Within 24 Hours,0.889,All
Naas General Hospital,2022-10-01,# > 24 Hours,293,All
Naas General Hospital,2022-11-01,% Within 6 Hours,0.319,All
Naas General Hospital,2022-11-01,% Within 9 Hours,0.47,All
Naas General Hospital,2022-11-01,% Within 24 Hours,0.872,All
Naas General Hospital,2022-11-01,# > 24 Hours,314,All
Naas General Hospital,2022-12-01,% Within 6 Hours,0.317,All
Naas General Hospital,2022-12-01,% Within 9 Hours,0.477,All
Naas General Hospital,2022-12-01,% Within 24 Hours,0.838,All
Naas General Hospital,2022-12-01,# > 24 Hours,388,All
Naas General Hospital,2023-01-01,% Within 6 Hours,0.335,All
Naas General Hospital,2023-01-01,% Within 9 Hours,0.478,All
Naas General Hospital,2023-01-01,% Within 24 Hours,0.841,All
Naas General Hospital,2023-01-01,# > 24 Hours,383,All
Naas General Hospital,2023-02-01,% Within 6 Hours,0.362,All
Naas General Hospital,2023-02-01,% Within 9 Hours,0.499,All
Naas General Hospital,2023-02-01,% Within 24 Hours,0.869,All
Naas General Hospital,2023-02-01,# > 24 Hours,312,All
Naas General Hospital,2023-03-01,% Within 6 Hours,0.333,All
Naas General Hospital,2023-03-01,% Within 9 Hours,0.483,All
Naas General Hospital,2023-03-01,% Within 24 Hours,0.865,All
Naas General Hospital,2023-03-01,# > 24 Hours,348,All
Naas General Hospital,2023-04-01,% Within 6 Hours,0.355,All
Naas General Hospital,2023-04-01,% Within 9 Hours,0.495,All
Naas General Hospital,2023-04-01,% Within 24 Hours,0.898,All
Naas General Hospital,2023-04-01,# > 24 Hours,258,All
Naas General Hospital,2023-05-01,% Within 6 Hours,0.333,All
Naas General Hospital,2023-05-01,% Within 9 Hours,0.467,All
Naas General Hospital,2023-05-01,% Within 24 Hours,0.867,All
Naas General Hospital,2023-05-01,# > 24 Hours,370,All
Naas General Hospital,2023-06-01,% Within 6 Hours,0.351,All
Naas General Hospital,2023-06-01,% Within 9 Hours,0.499,All
Naas General Hospital,2023-06-01,% Within 24 Hours,0.912,All
Naas General Hospital,2023-06-01,# > 24 Hours,235,All
Naas General Hospital,2023-07-01,% Within 6 Hours,0.34,All
Naas General Hospital,2023-07-01,% Within 9 Hours,0.506,All
Naas General Hospital,2023-07-01,% Within 24 Hours,0.936,All
Naas General Hospital,2023-07-01,# > 24 Hours,167,All
Naas General Hospital,2023-08-01,% Within 6 Hours,0.369,All
Naas General Hospital,2023-08-01,% Within 9 Hours,0.514,All
Naas General Hospital,2023-08-01,% Within 24 Hours,0.905,All
Naas General Hospital,2023-08-01,# > 24 Hours,262,All
Naas General Hospital,2023-09-01,% Within 6 Hours,0.365,All
Naas General Hospital,2023-09-01,% Within 9 Hours,0.51,All
Naas General Hospital,2023-09-01,% Within 24 Hours,0.909,All
Naas General Hospital,2023-09-01,# > 24 Hours,239,All
St. James's Hospital,2022-01-01,% Within 6 Hours,0.507,All
St. James's Hospital,2022-01-01,% Within 9 Hours,0.722,All
St. James's Hospital,2022-01-01,% Within 24 Hours,0.981,All
St. James's Hospital,2022-01-01,# > 24 Hours,79,All
St. James's Hospital,2022-02-01,% Within 6 Hours,0.459,All
St. James's Hospital,2022-02-01,% Within 9 Hours,0.694,All
St. James's Hospital,2022-02-01,% Within 24 Hours,0.973,All
St. James's Hospital,2022-02-01,# > 24 Hours,108,All
St. James's Hospital,2022-03-01,% Within 6 Hours,0.439,All
St. James's Hospital,2022-03-01,% Within 9 Hours,0.654,All
St. James's Hospital,2022-03-01,% Within 24 Hours,0.961,All
St. James's Hospital,2022-03-01,# > 24 Hours,180,All
St. James's Hospital,2022-04-01,% Within 6 Hours,0.507,All
St. James's Hospital,2022-04-01,% Within 9 Hours,0.727,All
St. James's Hospital,2022-04-01,% Within 24 Hours,0.973,All
St. James's Hospital,2022-04-01,# > 24 Hours,115,All
St. James's Hospital,2022-05-01,% Within 6 Hours,0.519,All
St. James's Hospital,2022-05-01,% Within 9 Hours,0.746,All
St. James's Hospital,2022-05-01,% Within 24 Hours,0.976,All
St. James's Hospital,2022-05-01,# > 24 Hours,109,All
St. James's Hospital,2022-06-01,% Within 6 Hours,0.508,All
St. James's Hospital,2022-06-01,% Within 9 Hours,0.727,All
St. James's Hospital,2022-06-01,% Within 24 Hours,0.979,All
St. James's Hospital,2022-06-01,# > 24 Hours,95,All
St. James's Hospital,2022-07-01,% Within 6 Hours,0.502,All
St. James's Hospital,2022-07-01,% Within 9 Hours,0.692,All
St. James's Hospital,2022-07-01,% Within 24 Hours,0.95,All
St. James's Hospital,2022-07-01,# > 24 Hours,219,All
St. James's Hospital,2022-08-01,% Within 6 Hours,0.522,All
St. James's Hospital,2022-08-01,% Within 9 Hours,0.725,All
St. James's Hospital,2022-08-01,% Within 24 Hours,0.98,All
St. James's Hospital,2022-08-01,# > 24 Hours,87,All
St. James's Hospital,2022-09-01,% Within 6 Hours,0.471,All
St. James's Hospital,2022-09-01,% Within 9 Hours,0.674,All
St. James's Hospital,2022-09-01,% Within 24 Hours,0.943,All
St. James's Hospital,2022-09-01,# > 24 Hours,257,All
St. James's Hospital,2022-10-01,% Within 6 Hours,0.449,All
St. James's Hospital,2022-10-01,% Within 9 Hours,0.647,All
St. James's Hospital,2022-10-01,% Within 24 Hours,0.889,All
St. James's Hospital,2022-10-01,# > 24 Hours,513,All
St. James's Hospital,2022-11-01,% Within 6 Hours,0.491,All
St. James's Hospital,2022-11-01,% Within 9 Hours,0.691,All
St. James's Hospital,2022-11-01,% Within 24 Hours,0.917,All
St. James's Hospital,2022-11-01,# > 24 Hours,371,All
St. James's Hospital,2022-12-01,% Within 6 Hours,0.499,All
St. James's Hospital,2022-12-01,% Within 9 Hours,0.694,All
St. James's Hospital,2022-12-01,% Within 24 Hours,0.943,All
St. James's Hospital,2022-12-01,# > 24 Hours,249,All
St. James's Hospital,2023-01-01,% Within 6 Hours,0.554,All
St. James's Hospital,2023-01-01,% Within 9 Hours,0.715,All
St. James's Hospital,2023-01-01,% Within 24 Hours,0.924,All
St. James's Hospital,2023-01-01,# > 24 Hours,324,All
St. James's Hospital,2023-02-01,% Within 6 Hours,0.514,All
St. James's Hospital,2023-02-01,% Within 9 Hours,0.702,All
St. James's Hospital,2023-02-01,% Within 24 Hours,0.93,All
St. James's Hospital,2023-02-01,# > 24 Hours,286,All
St. James's Hospital,2023-03-01,% Within 6 Hours,0.464,All
St. James's Hospital,2023-03-01,% Within 9 Hours,0.656,All
St. James's Hospital,2023-03-01,% Within 24 Hours,0.893,All
St. James's Hospital,2023-03-01,# > 24 Hours,509,All
St. James's Hospital,2023-04-01,% Within 6 Hours,0.495,All
St. James's Hospital,2023-04-01,% Within 9 Hours,0.69,All
St. James's Hospital,2023-04-01,% Within 24 Hours,0.918,All
St. James's Hospital,2023-04-01,# > 24 Hours,369,All
St. James's Hospital,2023-05-01,% Within 6 Hours,0.452,All
St. James's Hospital,2023-05-01,% Within 9 Hours,0.653,All
St. James's Hospital,2023-05-01,% Within 24 Hours,0.909,All
St. James's Hospital,2023-05-01,# > 24 Hours,445,All
St. James's Hospital,2023-06-01,% Within 6 Hours,0.507,All
St. James's Hospital,2023-06-01,% Within 9 Hours,0.692,All
St. James's Hospital,2023-06-01,% Within 24 Hours,0.915,All
St. James's Hospital,2023-06-01,# > 24 Hours,398,All
St. James's Hospital,2023-07-01,% Within 6 Hours,0.525,All
St. James's Hospital,2023-07-01,% Within 9 Hours,0.739,All
St. James's Hospital,2023-07-01,% Within 24 Hours,0.966,All
St. James's Hospital,2023-07-01,# > 24 Hours,160,All
St. James's Hospital,2023-08-01,% Within 6 Hours,0.494,All
St. James's Hospital,2023-08-01,% Within 9 Hours,0.699,All
St. James's Hospital,2023-08-01,% Within 24 Hours,0.938,All
St. James's Hospital,2023-08-01,# > 24 Hours,304,All
St. James's Hospital,2023-09-01,% Within 6 Hours,0.485,All
St. James's Hospital,2023-09-01,% Within 9 Hours,0.672,All
St. James's Hospital,2023-09-01,% Within 24 Hours,0.921,All
St. James's Hospital,2023-09-01,# > 24 Hours,369,All
Tallaght University Hospital,2022-01-01,% Within 6 Hours,0.318,All
Tallaght University Hospital,2022-01-01,% Within 9 Hours,0.457,All
Tallaght University Hospital,2022-01-01,% Within 24 Hours,0.865,All
Tallaght University Hospital,2022-01-01,# > 24 Hours,563,All
Tallaght University Hospital,2022-02-01,% Within 6 Hours,0.304,All
Tallaght University Hospital,2022-02-01,% Within 9 Hours,0.421,All
Tallaght University Hospital,2022-02-01,% Within 24 Hours,0.844,All
Tallaght University Hospital,2022-02-01,# > 24 Hours,654,All
Tallaght University Hospital,2022-03-01,% Within 6 Hours,0.323,All
Tallaght University Hospital,2022-03-01,% Within 9 Hours,0.448,All
Tallaght University Hospital,2022-03-01,% Within 24 Hours,0.836,All
Tallaght University Hospital,2022-03-01,# > 24 Hours,732,All
Tallaght University Hospital,2022-04-01,% Within 6 Hours,0.308,All
Tallaght University Hospital,2022-04-01,% Within 9 Hours,0.442,All
Tallaght University Hospital,2022-04-01,% Within 24 Hours,0.875,All
Tallaght University Hospital,2022-04-01,# > 24 Hours,516,All
Tallaght University Hospital,2022-05-01,% Within 6 Hours,0.331,All
Tallaght University Hospital,2022-05-01,% Within 9 Hours,0.491,All
Tallaght University Hospital,2022-05-01,% Within 24 Hours,0.894,All
Tallaght University Hospital,2022-05-01,# > 24 Hours,484,All
Tallaght University Hospital,2022-06-01,% Within 6 Hours,0.32,All
Tallaght University Hospital,2022-06-01,% Within 9 Hours,0.469,All
Tallaght University Hospital,2022-06-01,% Within 24 Hours,0.887,All
Tallaght University Hospital,2022-06-01,# > 24 Hours,498,All
Tallaght University Hospital,2022-07-01,% Within 6 Hours,0.359,All
Tallaght University Hospital,2022-07-01,% Within 9 Hours,0.518,All
Tallaght University Hospital,2022-07-01,% Within 24 Hours,0.922,All
Tallaght University Hospital,2022-07-01,# > 24 Hours,346,All
Tallaght University Hospital,2022-08-01,% Within 6 Hours,0.362,All
Tallaght University Hospital,2022-08-01,% Within 9 Hours,0.519,All
Tallaght University Hospital,2022-08-01,% Within 24 Hours,0.89,All
Tallaght University Hospital,2022-08-01,# > 24 Hours,490,All
Tallaght University Hospital,2022-09-01,% Within 6 Hours,0.305,All
Tallaght University Hospital,2022-09-01,% Within 9 Hours,0.45,All
Tallaght University Hospital,2022-09-01,% Within 24 Hours,0.864,All
Tallaght University Hospital,2022-09-01,# > 24 Hours,609,All
Tallaght University Hospital,2022-10-01,% Within 6 Hours,0.306,All
Tallaght University Hospital,2022-10-01,% Within 9 Hours,0.442,All
Tallaght University Hospital,2022-10-01,% Within 24 Hours,0.842,All
